,Area Code,Year,Life expectancy at birth (Both),Life expectancy at birth (Male),Life expectancy at birth (Female),Life expectancy at age 60 (Both),Life expectancy at age 60 (Male),Life expectancy at age 60 (Female),Healthy life expectancy at birth (Both),Healthy life expectancy at birth (Male),Healthy life expectancy at birth (Female),Healthy life expectancy at age 60 (Both),Healthy life expectancy at age 60 (Male),Healthy life expectancy at age 60 (Female)
228,238,2000,50.6,49.5,51.7,14.1,13.4,14.9,44.3,43.9,44.8,10.6,10.2,11.0
229,66,2019,68.0,65.9,70.3,16.2,14.9,17.5,59.6,58.5,60.7,11.8,11.1,12.6
230,66,2015,67.8,65.8,70.1,16.0,14.8,17.2,59.6,58.6,60.7,11.7,11.0,12.5
231,66,2010,67.6,65.9,69.5,15.8,14.8,16.8,59.5,58.8,60.2,11.6,11.1,12.2
232,66,2000,65.9,63.7,68.4,14.7,13.3,16.3,58.1,56.9,59.5,10.9,10.1,11.8
233,67,2019,81.6,79.2,84.0,24.2,22.4,25.8,71.0,69.9,72.0,18.5,17.3,19.5
234,67,2015,81.2,78.5,83.9,23.9,21.9,25.7,70.7,69.4,72.0,18.3,17.0,19.4
235,67,2010,79.9,76.7,83.0,23.3,21.0,25.3,69.6,67.9,71.2,17.8,16.3,19.1
236,67,2000,77.6,74.1,80.9,21.6,19.2,23.6,67.8,65.8,69.6,16.5,14.9,17.9
237,68,2019,82.5,79.8,85.1,25.3,23.3,27.2,72.1,71.1,73.1,19.7,18.5,20.8
238,68,2015,81.9,79.0,84.7,25.0,22.9,26.9,71.7,70.5,72.9,19.5,18.2,20.7
239,68,2010,81.2,78.0,84.3,24.7,22.3,26.8,71.2,69.7,72.5,19.3,17.9,20.6
240,68,2000,78.9,75.2,82.5,23.0,20.4,25.3,69.3,67.4,71.1,18.0,16.3,19.5
241,74,2019,66.5,63.6,69.7,17.2,15.2,19.3,57.6,56.0,59.3,12.8,11.4,14.2
242,74,2015,64.9,62.1,68.1,16.9,14.9,19.0,56.3,54.8,58.0,12.6,11.2,14.0
243,74,2010,62.2,60.1,64.3,16.4,14.4,18.2,54.0,53.1,54.9,12.2,10.8,13.4
244,74,2000,58.1,56.1,60.1,15.2,13.4,17.0,50.5,49.6,51.4,11.3,10.1,12.5
245,75,2019,65.5,63.4,67.7,16.9,15.8,18.0,57.0,56.4,57.7,12.6,12.1,13.2
246,75,2015,64.1,62.2,66.3,16.7,15.6,17.9,55.8,55.3,56.5,12.5,11.9,13.0
247,75,2010,62.4,60.6,64.5,16.5,15.3,17.7,54.4,53.9,55.0,12.3,11.7,12.9
248,75,2000,59.2,57.2,61.6,16.2,14.9,17.7,51.7,51.0,52.5,12.2,11.6,13.0
249,73,2019,73.3,68.8,77.8,18.8,16.0,21.0,64.7,61.4,67.9,14.4,12.4,16.1
250,73,2015,72.6,68.2,76.9,18.4,16.0,20.5,64.2,61.1,67.3,14.2,12.4,15.7
251,73,2010,71.9,67.4,76.3,18.2,15.9,20.1,63.7,60.5,66.9,14.1,12.5,15.5
252,73,2000,69.4,65.6,73.1,17.0,15.2,18.4,61.9,59.2,64.6,13.4,12.1,14.4
253,79,2019,81.7,78.7,84.8,24.4,21.9,26.9,70.9,69.7,72.1,18.5,17.0,19.9
254,79,2015,80.4,78.1,82.7,23.2,21.5,24.8,70.1,69.3,70.8,17.7,16.7,18.7
255,79,2010,80.2,77.8,82.5,23.2,21.4,24.8,70.0,69.1,70.9,17.8,16.7,18.8
256,79,2000,78.1,75.0,80.9,21.8,19.5,23.6,68.5,67.0,69.8,16.8,15.3,18.0
257,81,2019,66.3,63.7,69.2,17.2,15.7,18.9,58.0,56.5,59.6,12.9,11.9,14.0
258,81,2015,64.5,62.0,67.4,16.8,15.1,18.6,56.5,55.1,58.0,12.6,11.5,13.7
259,81,2010,62.0,59.7,64.5,16.2,14.6,17.9,54.3,53.2,55.6,12.1,11.1,13.2
260,81,2000,59.2,57.7,60.8,16.0,14.8,17.3,51.9,51.4,52.5,12.0,11.3,12.8
261,84,2019,81.1,78.6,83.6,23.8,22.1,25.5,70.9,69.9,71.9,18.4,17.3,19.5
262,84,2015,80.4,77.8,82.9,23.5,21.7,25.1,70.4,69.3,71.6,18.2,17.1,19.3
263,84,2010,80.1,77.5,82.7,23.3,21.7,24.8,70.0,68.9,71.2,18.1,17.0,19.0
264,84,2000,78.2,75.5,80.9,21.5,19.9,23.1,68.6,67.5,69.8,16.8,15.7,17.7
265,86,2019,72.9,70.6,75.3,18.7,17.2,20.3,63.9,62.6,65.4,14.3,13.1,15.6
266,86,2015,72.7,70.4,75.1,18.9,17.3,20.4,63.9,62.5,65.3,14.5,13.3,15.7
267,86,2010,72.0,69.2,75.5,17.7,15.6,20.5,63.5,61.8,65.7,13.7,12.1,15.8
268,86,2000,72.0,68.6,76.0,17.9,15.1,21.0,63.6,61.5,66.1,13.9,11.9,16.2
